DELIVERED A NON FUNCTIONAL IRON THE FIRST TIME, PROMPTLY REPLACED BY A NEW ONE WHICH IS WORKING AS EXPECTED. THANKS!	Amazon Customer	6 April 2016	GOOD DEAL AT 299 RUPEES	4.0 out of 5 stars
Lovely product	Abuzar Salahuddin	23 August 2017	Five Stars	5.0 out of 5 stars
excellent.  works well,  fast heating.  100%  value for money	Rupesh Kumar	5 July 2016	excellent item.	5.0 out of 5 stars
should consider some other iron but if you have shoestring budget then you can go for this. This isnt very compatible with light weighted clothes and can burn your clothes while ironing	Koumal Kakker	13 September 2018	Its just about ok!	3.0 out of 5 stars
Got it sale.only one thing ie there is not any replacement of this product.	RAVI RANJAN KUMAR	14 August 2017	Go for it	5.0 out of 5 stars
Awesome product very happy with the product thanks a lot Amazon....... Damn 😊	Customer	20 October 2017	Five Stars	5.0 out of 5 stars
Good one. It  is very light and one has to use pressure to iron the clothes. value for money!	"DIV"	7 September 2018	value for money!	4.0 out of 5 stars
Full on disire complete... Its working awesome... Cool design.. Easy to handle... Thir is no need to push heavy to press cloths..	Bhavesh	2 July 2017	Awesome product thanks amazon.in	5.0 out of 5 stars
Good product. U can't get better dry iron in this price. Wire is long. Gets heated up instantly. Tried it on both expensive and cheap shirts, it didn't burnt or sticked with shirts.	Ashish Joshi	1 March 2018	Good product. U can't get better dry iron in ...	5.0 out of 5 stars
I am writing this review after 4 and half months of usage.. the product has stopped working now. I hardly used it. The usage was once or twice a week for very light weighted clothes. Now I am not sure where do I search for a service center from	Amazon Customer	20 April 2018	Not worth.	1.0 out of 5 stars
Didn't even work well for complete two years. I don't really recommend it. I saw the brand and trusted it. But USHA is better.	Amazon Customer	4 December 2017	I don't really recommend it. I saw the brand and trusted it	2.0 out of 5 stars
Good product it heats very rapidly so that it's the best iron	E prasant	1 October 2017	Four Stars	4.0 out of 5 stars
Nice thanks for cloudtail,	Pawan Singh	27 March 2017	Value for money	5.0 out of 5 stars
worst product stopped working after  exactly 1 month	Shaik Neelofar	3 January 2018	One Star	1.0 out of 5 stars
Never imagined I’ll ever write a revie for an iron. But on a budget this iron works far better than double or triple the price of the completion. Heating plate is perfect.	Nathan	14 January 2018	Great Iron	4.0 out of 5 stars
Very good iron box, light weight and quickly reaching required temp. and automatically cuts off. Thanks to Amazon team.	SEETHARAMAN R	27 January 2018	Five Stars	5.0 out of 5 stars
The product is not working now. It's Not even months since I opened it but now not working	Srilakshmi Narayana Maddu	24 July 2017	Not heating now	1.0 out of 5 stars
It's the best quality I have bought at this 280 rupees guys.If u have the change go for it with out any hesitation	Wow	21 November 2016	Great Quality	5.0 out of 5 stars
It doesn't deserve even 1 star because once it damages your cloth , you will regret for months why you bought it first place just by falling in price trap.	Amazon Customer	29 January 2017	Damaged my new cloth	1.0 out of 5 stars
not exactly looks how its in image. But working good, its been 1 month, will update after 6 months. Bought in Lightening deal.	Vignesh	20 September 2016	may be	3.0 out of 5 stars
best product working well nice	Sanjay vishwakarma	6 February 2017	exilent	5.0 out of 5 stars
Good finish... nice colour combination... light hence maneuvers with ease... heats up pretty quickly... good length of attached cable...all n all an excellent product especially for the price (Rs.349) I picked it up for on a lightening deal...!!!	Elton Coutinho	3 February 2017	Excellent Product...!!!	5.0 out of 5 stars
I bought one few months ago and totally disappointed with its perfomance.its heat regulator doesn't work well.plug is not suitable for common socket.you need to use all your hand power to unplug it.It usually burns cloths.I beg you to avoid buying this product.	Boban	23 May 2018	I bought one few months ago and totally disappointed with its perfomance	1.0 out of 5 stars
It's ok type iron. After sell service is very poor your can not found any place to use your warranty in Ahmedabad like city. When you call on service center number it's out of service.	niraj tahakar	14 October 2018	Don't purchase orpet's iron .	2.0 out of 5 stars
This iron is very very light weight and heats up easily. It is very usefull and easy to carry anywhere. Its a value for money. Just go for it but only when it is in sale or else you have to spend a bit more money for the same product	Akshay soni	12 August 2018	Light and usefull product.	4.0 out of 5 stars
High watt and so works great as expected.	Rajat Bhadani	30 November 2017	Four Stars	4.0 out of 5 stars
Best one. Functioning is good. A littl heavier and large plate area giVing good ironing.	ANURAAG	7 December 2017	Five Stars	5.0 out of 5 stars
good product	zequessingon	10 March 2018	Five Stars	5.0 out of 5 stars
cheap and best,works like a charm,heats up quickly.automatically powers ON and OFF to keeps correct heat for correct cloth type.	Santhosh	4 May 2016	Best in the price range.	5.0 out of 5 stars
poor product , stopped working within a month , service or orpat is very bad , now i cant do anything as i cant return it ,and the manufacturer wont reair it , saying that we dont service products purchased online , DO NOT BUY this product its very bad .	apurv shukla	8 April 2018	bad product and worst service	1.0 out of 5 stars
Bought the product in lightning deal.Reasonable price and Quality.Satisfied.	yadener	12 May 2016	Satisfied.	5.0 out of 5 stars
It’s been one week and it’s functioning well without any issues. Best for the price	Loganathan	31 March 2018	Functioning well	5.0 out of 5 stars
It's fine. you can buy without any hesitation. But don't use it carelessly then it may damage.	Prasenjit P.	5 August 2017	Iske sath fight karoge to achha nahi hai	5.0 out of 5 stars
This iron box works great. Amazon delivery is fast. When it reaches the required heat, it turns off, saves power.	Baratha Kamban S	30 June 2018	Economic!	5.0 out of 5 stars
I loved it. Good built	Jay	6 January 2018	Five Stars	5.0 out of 5 stars
good product at reasonable price....with the brand satisfaction..i must say----thank-you amazon india	Amazon Customer	15 January 2018	Five Stars	5.0 out of 5 stars
Nice product value for money fast heating easy to iron lightweight well protected power card	Venkat	18 October 2018	Good iron box at economical price	5.0 out of 5 stars
Got it for 340 Rupees during the Great indian festival sale. It is an absolute must have. Heats up quite quickly and the temperature control is superb.	Amazon Customer	24 October 2017	Got it for 340 Rupees during the Great indian festival sale	5.0 out of 5 stars
Its very good product at 349. Good design . And the quick heat up in few seconds it is a very good thing that saves your time.  &#60;&#60;YOU SHOULD GO FOR THIS, BELIEVE ME &#62;&#62;	akshay	29 September 2017	Very efficient product , go for this.	5.0 out of 5 stars
Product received today,I am very happy to find Excellent product at this price, all function properly work.thanks cloutail and Amazone.	Kapil Sethi	3 May 2016	I am very happy to find Excellent product at this price	5.0 out of 5 stars
I have purchased Orpat Iron in lightning deals.I must say it's a worst product. Stopped working i in two months.Anybody don't purchase it.Amazon don't make people fool by selling worst products.	Amazon Customer	15 December 2016	Very bad quality	1.0 out of 5 stars
It is a very good iron and it is only amazon who provide us so beautiful product at such a reasonable and cheap price.	Md Ejaz Ahmad	27 February 2018	Very Good	5.0 out of 5 stars
Good product,Bt some scratch	Nagesh	26 September 2017	One Star	1.0 out of 5 stars
no proper heating, not worth to iron even silky cloths. want to send back to service centre as it have 12 months warranty. but how do i reach to customer service ??????? guide me	Niazshaikh	3 January 2018	no proper heating	1.0 out of 5 stars
Received damaged piece though packing was perfect but inside product was completely damaged.	Amazon Customer	7 August 2017	One Star	1.0 out of 5 stars
Good product in this price range... design is cool, quick heating... With non stick surface!!	Amazon Customer	25 May 2017	Three Stars	3.0 out of 5 stars
Expected to perform as a normal iron box. For my surprise this is the worst product....very frequently iron box plate getting greased up when ironing trousers..if we reduce heat then it won't iron ..if increase the heat it will get burnt on the heating plate.. just kept it aside.. earlier Iron box had no issue like this in particular..	Amazon Customer	6 October 2016	Getting Burnt	2.0 out of 5 stars
Excellent	Koushik Pal	13 February 2018	Excellent	5.0 out of 5 stars
The Orpat Iron has gone defective just in 3 months. Nobody picks up the customer care numbers given with the product. The product is under warranty of 2 years, but don't know from where to get it repaired.	Vikas Bansal	24 August 2017	The Orpat Iron has gone defective just in 3 months ...	1.0 out of 5 stars
Pathetic product, has burnt many of my clothes. Being teflon coated still clothes get stuck because of over heating. The bottom plate has turned black due to burning. Brand / Amazon should seriously look at the product quality and take a call.	Deepak Gupta	21 August 2016	Extremely bad quality	1.0 out of 5 stars
Light weight, nice ones. got it in lightening deal during Oct 1st sale week. Definite buy.	AP	1 November 2016	nice ones. got it in lightening deal during Oct ...	5.0 out of 5 stars
This iron stopped working in just 6 months, very disappointing experience. With orpat.	Saurabh	28 February 2018	Two Stars	2.0 out of 5 stars
Worth the money... but I missed to buy during the lightning deals days when it was sold for just 299/-	Bala R.	19 July 2016	Worth the money...	4.0 out of 5 stars
recevied scratched product	Priyanka patel	26 January 2018	One Star	1.0 out of 5 stars
Do not buy orpat products online they are not providing warranty for products purchased from online websites and its my personal experuence beware guys	Shubham verma	6 April 2018	Do not buy orpat products online they are not providing ...	1.0 out of 5 stars
This iron has worked only for 1.5 years. Biggest issue is with service. Online purchased item will not get warranty even if Amazon says it has two year warranty. Beware of all product purchase of ORPAT online..	parindrathod	1 November 2018	Not good, no warranty for online purchase	1.0 out of 5 stars
Hi it's very good product but if possible i want to change my orpat OEI 187 1200-watt with same product because in this product it's become hot very much and it's wires smelling so sir i request to change my product with the same orpat OEI 187  pls can u give me another orpat OEI 187 it's request	Amazon Customer	15 June 2016	Hi it's very good product but if possible i want to change my ...	5.0 out of 5 stars
